Trip Start Timestamp,Trip End Timestamp,Trip Seconds,Trip Miles,Pickup Centroid Latitude,Pickup Centroid Longitude,Pickup Centroid Location,Dropoff Centroid Latitude,Dropoff Centroid Longitude,Dropoff Centroid  Location
2023-12-01 00:15:00,12/01/2023 12:30:00 AM,844.0,6.69,41.87400538,-87.66351755,POINT (-87.6635175498 41.874005383),41.9442266,-87.65599818,POINT (-87.6559981815 41.9442266014)
2023-12-01 00:15:00,12/01/2023 12:30:00 AM,1066.0,10.91,41.79259236,-87.76961545,POINT (-87.7696154528 41.7925923603),41.87886558,-87.62519214,POINT (-87.6251921424 41.8788655841)
2023-12-01 00:15:00,12/01/2023 12:30:00 AM,1323.0,11.7,41.89960211,-87.63330804,POINT (-87.6333080367 41.899602111),41.77719626,-87.64249753,POINT (-87.6424975271 41.7771962546)
2023-12-01 00:15:00,12/01/2023 12:45:00 AM,1479.0,14.23,41.79259236,-87.76961545,POINT (-87.7696154528 41.7925923603),41.89960211,-87.63330804,POINT (-87.6333080367 41.899602111)
2023-12-01 00:15:00,12/01/2023 12:30:00 AM,1076.0,10.89,41.98026432,-87.9136246,POINT (-87.913624596 41.9802643146),41.968069,-87.72155906,POINT (-87.7215590627 41.968069)
2023-12-01 00:15:00,12/01/2023 12:30:00 AM,660.0,4.0,41.87886558,-87.62519214,POINT (-87.6251921424 41.8788655841),41.89960211,-87.63330804,POINT (-87.6333080367 41.899602111)
2023-12-01 00:15:00,12/01/2023 12:15:00 AM,314.0,1.64,41.87400538,-87.66351755,POINT (-87.6635175498 41.874005383),41.89960211,-87.63330804,POINT (-87.6333080367 41.899602111)
2023-12-01 00:15:00,12/01/2023 12:30:00 AM,1448.0,10.84,41.87400538,-87.66351755,POINT (-87.6635175498 41.874005383),41.95358213,-87.72345239,POINT (-87.7234523905 41.9535821253)
2023-12-01 00:15:00,12/01/2023 12:30:00 AM,636.0,4.4,41.89960211,-87.63330804,POINT (-87.6333080367 41.899602111),41.9442266,-87.65599818,POINT (-87.6559981815 41.9442266014)
2023-12-01 00:15:00,12/01/2023 12:45:00 AM,1680.0,14.0,41.98026432,-87.9136246,POINT (-87.913624596 41.9802643146),41.9442266,-87.65599818,POINT (-87.6559981815 41.9442266014)
2023-12-01 00:15:00,12/01/2023 12:30:00 AM,1080.0,0.0,41.9442266,-87.65599818,POINT (-87.6559981815 41.9442266014),41.968069,-87.72155906,POINT (-87.7215590627 41.968069)
2023-12-01 00:15:00,12/01/2023 12:30:00 AM,353.0,1.51,41.87400538,-87.66351755,POINT (-87.6635175498 41.874005383),41.90120699,-87.67635599,POINT (-87.6763559892 41.9012069941)
2023-12-01 00:15:00,12/01/2023 12:30:00 AM,1080.0,16.6,41.98026432,-87.9136246,POINT (-87.913624596 41.9802643146),41.87400538,-87.66351755,POINT (-87.6635175498 41.874005383)
2023-12-01 00:15:00,12/01/2023 12:30:00 AM,1380.0,10.3,41.89960211,-87.63330804,POINT (-87.6333080367 41.899602111),41.9442266,-87.65599818,POINT (-87.6559981815 41.9442266014)
2023-12-01 00:15:00,12/01/2023 12:30:00 AM,713.0,9.41,41.98026432,-87.9136246,POINT (-87.913624596 41.9802643146),41.95358213,-87.72345239,POINT (-87.7234523905 41.9535821253)
2023-12-01 00:15:00,12/01/2023 12:30:00 AM,537.0,2.51,41.89960211,-87.63330804,POINT (-87.6333080367 41.899602111),41.92268628,-87.64948873,POINT (-87.6494887289 41.9226862843)
2023-12-01 00:15:00,12/01/2023 12:15:00 AM,780.0,0.5,41.98026432,-87.9136246,POINT (-87.913624596 41.9802643146),41.95358213,-87.72345239,POINT (-87.7234523905 41.9535821253)
2023-12-01 00:15:00,12/01/2023 12:30:00 AM,385.0,2.13,41.89960211,-87.63330804,POINT (-87.6333080367 41.899602111),41.92268628,-87.64948873,POINT (-87.6494887289 41.9226862843)
2023-12-01 00:15:00,12/01/2023 12:30:00 AM,1301.0,17.07,41.97907082,-87.90303966,POINT (-87.9030396611 41.9790708201),41.88498719,-87.62099291,POINT (-87.6209929134 41.8849871918)
2023-12-01 00:15:00,12/01/2023 12:30:00 AM,1601.0,17.46,41.78599852,-87.75093429,POINT (-87.7509342894 41.785998518),41.94269184,-87.65177051,POINT (-87.6517705068 41.9426918444)
2023-12-01 00:15:00,12/01/2023 12:30:00 AM,1380.0,11.1,41.74420515,-87.65630599,POINT (-87.6563059862 41.7442051463),41.85718386,-87.62033462,POINT (-87.6203346241 41.8571838585)
2023-12-01 00:15:00,12/01/2023 12:30:00 AM,659.0,4.08,41.79259236,-87.76961545,POINT (-87.7696154528 41.7925923603),41.85718386,-87.62033462,POINT (-87.6203346241 41.8571838585)
2023-12-01 00:15:00,12/01/2023 12:45:00 AM,1260.0,0.7,41.98026432,-87.9136246,POINT (-87.913624596 41.9802643146),41.94779159,-87.68383494,POINT (-87.6838349425 41.9477915865)
2023-12-01 00:15:00,12/01/2023 12:30:00 AM,1103.0,16.51,41.98026432,-87.9136246,POINT (-87.913624596 41.9802643146),41.87400538,-87.66351755,POINT (-87.6635175498 41.874005383)
